Job_Title,Company _Name,Rating,Location,Salary,Skills,Description,,
Jr Data Analyst | Jr Data Scientist,AIBridge ML,4.5,HyderéÅbéÅd,300000," R, SQL, Math, Machine learning, Natural language processing","Some experience in working with Python, R, SQL. Some experience in working with libraries in Python. Graduate with Strong mathematical and statistical skillsÉ??É??",,
Data Analyst- FinOps,Gocool Inc,4,HyderéÅbéÅd,3500000," Power BI, Microsoft Excel, Business intelligence, R, Tableau","Proficiency in FinOps tooling, best practices, and data analyses across multi-cloud environments. 1+ years of experience with developing data visualizationsÉ??É??",,
Data Analyst,SPEEDLABS,,India,35000," Microsoft Powerpoint, Microsoft Excel, Data analysis skills, Analysis skills, Presentation skills",Experience in the education or technology industry. Collaborate with cross-functional teams to gather data requirements and deliver analytical solutions.É??,,
Data Analytics Apprenticeship, March 2025,Google,4.3,HyderéÅbéÅd,," Data analysis skills, English, SQL, Data analytics",Less than 1 year of experience in data analytics post graduation. Gain an understanding of the data lifecycle and how this translates to different businessÉ??É??,
SQL Data Analyst,ITI Data,4.1,HyderéÅbéÅd,," Waterfall, Business analysis, SQL, Data analytics, Agile","Experience in SDLC waterfall and agile methodologies, developing business and function requirements as part of a business analyst role.É??",,
Data Analyst, Tech,Uber,3.9,HyderéÅbéÅd,900000," Statistics, Google Suite, Business intelligence, Google Cloud Platform, Tableau","Familiarity with cloud-based data solutions (e.g., Google Cloud). Familiarity with Large Language Models (LLMs) and an understanding of how Generative AI can beÉ??É??",
Lead Power BI Engineer,Zelis,3.8,HyderéÅbéÅd,," Power BI, Azure, Business intelligence, Microsoft SQL Server, SQL",Create data visualizations that communicate complex data in a clear and effective manner. The ideal candidate will have a strong background in transforming dataÉ??É??,,
Data Analyst,Next Education,3.6,HyderéÅbéÅd,650000, Computer skills,"Minimum Required Experience : 1 year Intern Skills Good Problem Solving Skills Description Basic computer knowledge. Working on softwares like Articulate,É??É??",,
Data Analyst Operations,S&P Global,4.1,HyderéÅbéÅd,500000," Microsoft Excel, Research, Data collection, Communication skills","The Impact: In this role, you will work closely with members of our global teams, adding value to our content, as you work to ensure the highest possible levelsÉ??É??",,
Data Analyst,DAZN,3,HyderéÅbéÅd,550000," Cloud architecture, Tableau, SQL, Analysis skills, Quality assurance","Reporting to our Lead Data Analyst, you will work end-to-end on building robust datasets, creating data visualisations (dashboards) and responding to analyticsÉ??É??",,
ASSISTANT DATA ANALYST,Aditya Pharmacy,4,HyderéÅbéÅd,450000,,"This person. will leverage systems and data to. generate reports, create and. Track purchase orders, manage. new and current item files, and.É??",,
Client Data Analyst,JPMorganChase,4,HyderéÅbéÅd,550000," Research, Analysis skills","As a Client Data analyst within our KYC/AML team, you will be an team member contributor responsible for understanding and implementing KYC standards,É??É??",,
Data Management Analyst - Support,Experian,4.1,HyderéÅbéÅd,450000," Microsoft Word, Microsoft Excel, English, Communication skills",Expected to meet the established deadlines working hard as a team and deliver high quality service with attention to the details in fast paced environment.É??,,
Data Analyst,Mahasos Info Pvt Ltd,4.2,HyderéÅbéÅd,1050000," Power BI, Data modeling, Business intelligence, Data analysis skills, Microsoft SQL Server","As an analyst lead, you will be responsible for leading a team of data analysts, managing multiple implementation projects and a book of work and alsoÉ??É??",,
Data Analyst,Phenom People,4,HyderéÅbéÅd,," Statistics, Software deployment, R, Tableau, SQL","In this role, you will work directly with our Data Science, Product and Engineering teams to analyze and improve our Phenomenal products for our PhenomenalÉ??É??",,
Data Analyst,Dr POSITIVE HEALTH SCIENCES PVT LTD,,HyderéÅbéÅd,27500," Microsoft Powerpoint, Microsoft Excel, Data mining, Research, Pivot tables","?? Responsible to create best-practice reports based on data mining, analysis, and visualization. ?? Responsible to maintain backups and secure data.É??",,
Data Analyst,SMA Solar India,3.8,HyderéÅbéÅd,500000," Power BI, Business intelligence, Relational databases, Salesforce, R","Experience in data cleaning, data preprocessing, and data quality management. Extensive experience in Salesforce data analysis, including data extraction,É??É??",,
Data Analyst,Promptora AI,,HyderéÅbéÅd,2700000," Power BI, Data modeling, Cloud infrastructure, Oracle, Data structures","Proven track record of *building and managing data solutions* that deliver value to business units, with a focus on *sales and marketing analytics*.É??",,
Data Analyst,Tanla Platforms,3.8,HyderéÅbéÅd,650000," R, Tableau, Fraud prevention and detection, MySQL","Knowledge of programming languages such as R or Julia is an addon. Collect, clean, and analyse data from various sources to detect fraudulent patterns andÉ??É??",,
Data Analyst,IntouchCX,3.4,HyderéÅbéÅd,," Statistics, Google Suite, Computer science, Power BI, Google Docs","The ideal candidate will have a minimum of 3 years of experience in an analyst role, preferably within a contact center environment.É??",,
Data Analyst II,RealPage India,3.5,HyderéÅbéÅd,," Power BI, Enterprise Software, Data structures, Data analysis skills, Tableau","A successful Data Analyst must take a hands-on approach, ensuring the highest quality solutions are provided to our business stakeholders, with accurateÉ??É??",,
Streaming Data Analyst,DAZN,3,HyderéÅbéÅd,750000," Jira, Git, Tableau, SQL, New Relic",Collaborate with the engineering team to identify areas of improvement for our in-house bespoke Player. Use data to help triage live incidents.É??,,
Analyst, Data Gov,Invesco,3.9,HyderéÅbéÅd,550000,,"As a full-time employee, compliance with the workplace policy means working with your direct manager to create a schedule where you will work in your designatedÉ??É??",
Data Operations Analyst I (R-16801),Dun & Bradstreet,4,HyderéÅbéÅd,1000000," R, SQL, Agile, Python","A Data Operations AnalystÉ??s role involves improving our ability to monitor, measure and maintain our internal data supply chain applications.É??",,
Data Quality analyst,Experian,4.1,HyderéÅbéÅd,900000," Power BI, Data modeling, Tableau, SQL, Data management","This will enable us to build a consistent and complete view of our customerÉ??s interactions, products and services and support strategic objectives to improveÉ??É??",,
Data Analytics Intern,Vamana Solar EPC,,India,10000," Microsoft Excel, Data analysis skills, Microsoft SQL Server, Tableau, SQL","Strong analytical skills and proficiency in data analysis tools (e.g., Excel, SQL). Conduct comprehensive due diligence, including financial assessments, marketÉ??É??",,
Data Analyst,Saven Technologies,3.9,HyderéÅbéÅd,," Statistics, Microsoft Excel, SQL, Machine learning, Data analytics","Stay up-to-date with industry trends and best practices in data analytics and the fintech. Minimum of 3 years of experience in data analytics, with a strongÉ??É??",,
Analyst - Risk and Brand Protection - Compliance Help Desk,Deloitte,4,HyderéÅbéÅd,400000," Customer service, Research, Organizational skills, ServiceNow, Customer support","Excellent verbal and written communication skills with an emphasis on time management, attention to detail and ability to work in a fast-paced environment.É??",,
Data Analyst,Amnet Digital,4.1,HyderéÅbéÅd,450000," Relational databases, Enterprise Software, SQL, Agile, Data science","Our digital product engineering teams design and deploy enterprise solutions that are robust, secure and scalable.É??",,
